Section,Type,Shape,Catalogue,Area,Ix,Iy,H1,H2,bf1,bf2,tf1,tf2,tw,,,,,,,,
,,,,cm²,cm4,cm4,mm,mm,mm,mm,mm,mm,mm,,,,,,,,
UB 838x292x226,Steel,I,,289,339700,11360,850.9,850.9,293.8,293.8,26.8,26.8,16.1,,,,,,,,
UB 838x292x194,Steel,I,,247,279200,9066,840.7,840.7,292.4,292.4,21.7,21.7,14.7,,,,,,,,
UB 838x292x176,Steel,I,,224,246000,7799,834.9,834.9,291.7,291.7,18.8,18.8,14,,,,,,,,
UB 762x267x197,Steel,I,,251,240000,8175,769.8,769.8,268,268,25.4,25.4,15.6,,,,,,,,
UB 762x267x173,Steel,I,,220,205300,6850,762.2,762.2,266.7,266.7,21.6,21.6,14.3,,,,,,,,
UB 762x267x147,Steel,I,,187,168500,5455,754,754,265.2,265.2,17.5,17.5,12.8,,,,,,,,
UB 762x267x134,Steel,I,,171,150700,4788,750,750,264.4,264.4,15.5,15.5,12,,,,,,,,
UB 686x254x170,Steel,I,,217,170300,6630,692.9,692.9,255.8,255.8,23.7,23.7,14.5,,,,,,,,
UB 686x254x152,Steel,I,,194,150400,5784,687.5,687.5,254.5,254.5,21,21,13.2,,,,,,,,
UB 686x254x140,Steel,I,,178,136300,5183,683.5,683.5,253.7,253.7,19,19,12.4,,,,,,,,
UB 686x254x125,Steel,I,,159,118000,4383,677.9,677.9,253,253,16.2,16.2,11.7,,,,,,,,
UB 610x305x238,Steel,I,,303,209500,15870,635.8,635.8,311.4,311.4,31.4,31.4,18.4,,,,,,,,
UB 610x305x179,Steel,I,,228,153000,11410,620.2,620.2,307.1,307.1,23.6,23.6,14.1,,,,,,,,
UB 610x305x149,Steel,I,,190,125900,9308,612.4,612.4,304.8,304.8,19.7,19.7,11.8,,,,,,,,
UB 610x229x140,Steel,I,,178,111800,4505,617.2,617.2,230.2,230.2,22.1,22.1,13.1,,,,,,,,
UB 610x229x125,Steel,I,,159,98610,3932,612.2,612.2,229,229,19.6,19.6,11.9,,,,,,,,
UB 610x229x113,Steel,I,,144,87320,3434,607.6,607.6,228.2,228.2,17.3,17.3,11.1,,,,,,,,
UB 610x229x101,Steel,I,,129,75780,2915,602.6,602.6,227.6,227.6,14.8,14.8,10.5,,,,,,,,
UB 533x210x122,Steel,I,,155,76040,3388,544.5,544.5,211.9,211.9,21.3,21.3,12.7,,,,,,,,
UB 533x210x109,Steel,I,,139,66820,2943,539.5,539.5,210.8,210.8,18.8,18.8,11.6,,,,,,,,
UB 533x210x101,Steel,I,,129,61520,2692,536.7,536.7,210,210,17.4,17.4,10.8,,,,,,,,
UB 533x210x92,Steel,I,,117,55230,2389,533.1,533.1,209.3,209.3,15.6,15.6,10.1,,,,,,,,
UB 533x210x82,Steel,I,,105,47540,2007,528.3,528.3,208.8,208.8,13.2,13.2,9.6,,,,,,,,
UB 457x191x98,Steel,I,,125,45730,2347,467.2,467.2,192.8,192.8,19.6,19.6,11.4,,,,,,,,
UB 457x191x89,Steel,I,,114,41020,2089,463.4,463.4,191.9,191.9,17.7,17.7,10.5,,,,,,,,
UB 457x191x82,Steel,I,,104,37050,1871,460,460,191.3,191.3,16,16,9.9,,,,,,,,
UB 457x191x74,Steel,I,,94.6,33320,1671,457,457,190.4,190.4,14.5,14.5,9,,,,,,,,
UB 457x191x67,Steel,I,,85.5,29380,1452,453.4,453.4,189.9,189.9,12.7,12.7,8.5,,,,,,,,
UB 457x152x82,Steel,I,,105,36590,1185,465.8,465.8,155.3,155.3,18.9,18.9,10.5,,,,,,,,
UB 457x152x74,Steel,I,,94.5,32670,1047,462,462,154.4,154.4,17,17,9.6,,,,,,,,
UB 457x152x67,Steel,I,,85.6,28930,913,458,458,153.8,153.8,15,15,9,,,,,,,,
UB 457x152x60,Steel,I,,76.2,25500,795,454.6,454.6,152.9,152.9,13.3,13.3,8.1,,,,,,,,
UB 457x152x52,Steel,I,,66.6,21370,645,449.8,449.8,152.4,152.4,10.9,10.9,7.6,,,,,,,,
UB 406x178x74,Steel,I,,94.5,27310,1545,412.8,412.8,179.5,179.5,16,16,9.5,,,,,,,,
UB 406x178x67,Steel,I,,85.5,24330,1365,409.4,409.4,178.8,178.8,14.3,14.3,8.8,,,,,,,,
UB 406x178x60,Steel,I,,76.5,21600,1203,406.4,406.4,177.9,177.9,12.8,12.8,7.9,,,,,,,,
UB 406x178x54,Steel,I,,69,18720,1021,402.6,402.6,177.7,177.7,10.9,10.9,7.7,,,,,,,,
UB 406x140x46,Steel,I,,58.6,15690,538,403.2,403.2,142.2,142.2,11.22,11.22,6.8,,,,,,,,
UB 406x140x39,Steel,I,,49.7,12510,410,398,398,141.8,141.8,8.6,8.6,6.4,,,,,,,,
UB 356x171x67,Steel,I,,85.5,19460,1362,363.4,363.4,173.2,173.2,15.7,15.7,9.1,,,,,,,,
UB 356x171x57,Steel,I,,72.6,16040,1108,358,358,172.2,172.2,13,13,8.1,,,,,,,,
UB 356x171x51,Steel,I,,64.9,14140,968,355,355,171.5,171.5,11.5,11.5,7.4,,,,,,,,
UB 356x171x45,Steel,I,,57.3,12070,811,351.4,351.4,171.1,171.1,9.7,9.7,7,,,,,,,,
UB 356x127x39,Steel,I,,49.8,10170,358,353.4,353.4,126,126,10.7,10.7,6.6,,,,,,,,
UB 356x127x33,Steel,I,,42.1,8249,280,349,349,125.4,125.4,8.5,8.5,6,,,,,,,,
UB 305x165x54,Steel,I,,68.8,11700,1063,310.4,310.4,166.9,166.9,13.7,13.7,7.9,,,,,,,,
UB 305x165x46,Steel,I,,58.7,9899,896,306.6,306.6,165.7,165.7,11.8,11.8,6.7,,,,,,,,
UB 305x165x40,Steel,I,,51.3,8503,764,303.4,303.4,165,165,10.2,10.2,6,,,,,,,,
UB 305x127x48,Steel,I,,61.2,9575,461,311,311,125.3,125.3,14,14,9,,,,,,,,
